On-standby: PT-Dino_unsupervised training
Network: ViT-6-8, train on -> cuda
epoch [1/50], batch_loss-> 3.1232, time: 0:01:46.8 sec
epoch [2/50], batch_loss-> 2.3406, time: 0:01:47.4 sec
epoch [3/50], batch_loss-> 1.6541, time: 0:01:46.5 sec
epoch [4/50], batch_loss-> 1.1088, time: 0:01:46.8 sec
epoch [5/50], batch_loss-> 0.7797, time: 0:01:46.8 sec
epoch [6/50], batch_loss-> 0.5634, time: 0:01:52.1 sec
epoch [7/50], batch_loss-> 0.4615, time: 0:01:46.9 sec
epoch [8/50], batch_loss-> 0.4035, time: 0:01:46.4 sec
epoch [9/50], batch_loss-> 0.3429, time: 0:01:47.1 sec
epoch [10/50], batch_loss-> 0.3486, time: 0:01:48.3 sec
store the dino pretrained model at: D:/FLINC_dataset/slides/yang_cd45_u\models\checkpoint_ViT-6-8-PT-Dino_unsupervised[10]2022-10-26.pth
epoch [11/50], batch_loss-> 0.2649, time: 0:01:52.1 sec
epoch [12/50], batch_loss-> 0.2545, time: 0:01:51.5 sec
epoch [13/50], batch_loss-> 0.2113, time: 0:01:51.4 sec
epoch [14/50], batch_loss-> 0.2216, time: 0:01:51.4 sec
epoch [15/50], batch_loss-> 0.2453, time: 0:01:51.1 sec
epoch [16/50], batch_loss-> 0.1924, time: 0:01:50.7 sec
epoch [17/50], batch_loss-> 0.1680, time: 0:01:51.1 sec
epoch [18/50], batch_loss-> 0.1758, time: 0:01:51.7 sec
epoch [19/50], batch_loss-> 0.2066, time: 0:01:51.1 sec
epoch [20/50], batch_loss-> 0.1666, time: 0:01:50.8 sec
store the dino pretrained model at: D:/FLINC_dataset/slides/yang_cd45_u\models\checkpoint_ViT-6-8-PT-Dino_unsupervised[20]2022-10-26.pth
epoch [21/50], batch_loss-> 0.1118, time: 0:01:49.8 sec
epoch [22/50], batch_loss-> 0.1700, time: 0:01:50.6 sec
epoch [23/50], batch_loss-> 0.1882, time: 0:01:51.0 sec
epoch [24/50], batch_loss-> 0.1940, time: 0:01:50.5 sec
epoch [25/50], batch_loss-> 0.1868, time: 0:01:50.3 sec
epoch [26/50], batch_loss-> 0.1635, time: 0:01:52.8 sec
epoch [27/50], batch_loss-> 0.1592, time: 0:01:52.2 sec
epoch [28/50], batch_loss-> 0.1630, time: 0:01:51.1 sec
epoch [29/50], batch_loss-> 0.1685, time: 0:01:52.0 sec
epoch [30/50], batch_loss-> 0.1663, time: 0:01:50.5 sec
store the dino pretrained model at: D:/FLINC_dataset/slides/yang_cd45_u\models\checkpoint_ViT-6-8-PT-Dino_unsupervised[30]2022-10-26.pth
epoch [31/50], batch_loss-> 0.1858, time: 0:01:50.8 sec
epoch [32/50], batch_loss-> 0.1307, time: 0:01:51.7 sec
epoch [33/50], batch_loss-> 0.1674, time: 0:01:50.1 sec
epoch [34/50], batch_loss-> 0.1166, time: 0:01:50.5 sec
epoch [35/50], batch_loss-> 0.1472, time: 0:01:50.6 sec
epoch [36/50], batch_loss-> 0.1962, time: 0:01:50.2 sec
epoch [37/50], batch_loss-> 0.1882, time: 0:01:51.1 sec
epoch [38/50], batch_loss-> 0.1527, time: 0:01:50.7 sec
epoch [39/50], batch_loss-> 0.1374, time: 0:01:50.0 sec
epoch [40/50], batch_loss-> 0.1789, time: 0:01:50.6 sec
store the dino pretrained model at: D:/FLINC_dataset/slides/yang_cd45_u\models\checkpoint_ViT-6-8-PT-Dino_unsupervised[40]2022-10-26.pth
epoch [41/50], batch_loss-> 0.1772, time: 0:01:50.9 sec
epoch [42/50], batch_loss-> 0.1390, time: 0:01:50.3 sec
epoch [43/50], batch_loss-> 0.1710, time: 0:01:44.8 sec
epoch [44/50], batch_loss-> 0.1946, time: 0:01:44.5 sec
epoch [45/50], batch_loss-> 0.1439, time: 0:01:44.5 sec
epoch [46/50], batch_loss-> 0.1605, time: 0:01:44.9 sec
epoch [47/50], batch_loss-> 0.1338, time: 0:01:44.4 sec
epoch [48/50], batch_loss-> 0.1576, time: 0:01:45.2 sec
epoch [49/50], batch_loss-> 0.1578, time: 0:01:54.8 sec
epoch [50/50], batch_loss-> 0.1363, time: 0:01:50.2 sec
store the dino pretrained model at: D:/FLINC_dataset/slides/yang_cd45_u\models\checkpoint_ViT-6-8-PT-Dino_unsupervised[50]2022-10-26.pth
