load model from: D:/FLINC_dataset/slides/yang_p62\models\checkpoint_ResNet18-TK_MIL-0_steatosis_score_bi_[5]2023-11-20.pth
with time: 0:03:07.6 sec, load 4 slides' activation
originally attention tiles: 103 in slide: 23910-158_Sl001-C2-P62
fill surrounding tiles: 16 in round: 1
fill surrounding tiles: 26 in round: 2
fill surrounding tiles: 31 in round: 3
all/k selection ratio in this slide: (7562 / 176)
originally attention tiles: 9 in slide: 23910-158_Sl003-C3-P62
fill surrounding tiles: 0 in round: 1
fill surrounding tiles: 0 in round: 2
fill surrounding tiles: 0 in round: 3
all/k selection ratio in this slide: (4927 / 9)
originally attention tiles: 9 in slide: 23910-158_Sl009-C7-P62
fill surrounding tiles: 0 in round: 1
fill surrounding tiles: 0 in round: 2
fill surrounding tiles: 0 in round: 3
all/k selection ratio in this slide: (4271 / 9)
all/k selection ratio in this slide: (18442 / 0)
final highlighted tiles:  176
generate attention score heatmap (both hard and soft) for slide: 23910-158_Sl001-C2-P62
added topK activation map numpy info set for slide: 23910-158_Sl001-C2-P62
final highlighted tiles:  9
generate attention score heatmap (both hard and soft) for slide: 23910-158_Sl003-C3-P62
added topK activation map numpy info set for slide: 23910-158_Sl003-C3-P62
final highlighted tiles:  9
generate attention score heatmap (both hard and soft) for slide: 23910-158_Sl009-C7-P62
added topK activation map numpy info set for slide: 23910-158_Sl009-C7-P62
load model from: D:/FLINC_dataset/slides/yang_p62\models\checkpoint_ResNet18-TK_MIL-0_steatosis_score_bi_[5]2023-11-20.pth
with time: 0:03:18.5 sec, load 4 slides' activation
originally attention tiles: 103 in slide: 23910-158_Sl001-C2-P62
fill surrounding tiles: 16 in round: 1
fill surrounding tiles: 26 in round: 2
fill surrounding tiles: 31 in round: 3
all/k selection ratio in this slide: (7562 / 176)
originally attention tiles: 9 in slide: 23910-158_Sl003-C3-P62
fill surrounding tiles: 0 in round: 1
fill surrounding tiles: 0 in round: 2
fill surrounding tiles: 0 in round: 3
all/k selection ratio in this slide: (4927 / 9)
originally attention tiles: 9 in slide: 23910-158_Sl009-C7-P62
fill surrounding tiles: 0 in round: 1
fill surrounding tiles: 0 in round: 2
fill surrounding tiles: 0 in round: 3
all/k selection ratio in this slide: (4271 / 9)
all/k selection ratio in this slide: (18442 / 0)
[
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #130, Column #777, Small shape: (1032->1040, 6208->6216), Large shape: (16512->16640, 99328->99456), Tissue 81.25%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #182, Column #860, Small shape: (1448->1456, 6872->6880), Large shape: (23168->23296, 109952->110080), Tissue 60.94%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #52, Column #738, Small shape: (408->416, 5896->5904), Large shape: (6528->6656, 94336->94464), Tissue 70.31%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #135, Column #775, Small shape: (1072->1080, 6192->6200), Large shape: (17152->17280, 99072->99200), Tissue 51.56%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #52, Column #737, Small shape: (408->416, 5888->5896), Large shape: (6528->6656, 94208->94336), Tissue 51.56%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #191, Column #766, Small shape: (1520->1528, 6120->6128), Large shape: (24320->24448, 97920->98048), Tissue 71.88%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #80, Column #756, Small shape: (632->640, 6040->6048), Large shape: (10112->10240, 96640->96768), Tissue 64.06%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #208, Column #767, Small shape: (1656->1664, 6128->6136), Large shape: (26496->26624, 98048->98176), Tissue 89.06%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #91, Column #840, Small shape: (720->728, 6712->6720), Large shape: (11520->11648, 107392->107520), Tissue 62.50%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #79, Column #756, Small shape: (624->632, 6040->6048), Large shape: (9984->10112, 96640->96768), Tissue 46.88%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #131, Column #775, Small shape: (1040->1048, 6192->6200), Large shape: (16640->16768, 99072->99200), Tissue 71.88%], 
[Tile #D:/FLINC_dataset/slides/yang_p62\tissues\23910-158_Sl001-C2-P62.ndpi, Row #183, Column #851, Small shape: (1456->1464, 6800->6808), Large shape: (23296->23424, 108800->108928), Tissue 60.94%], 
